TITLE,DESCRIPTION,PRICE,CURRENCY_CODE,QUANTITY,TAGS,MATERIALS,IMAGE1,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,"VARIATION 1 TYPE","VARIATION 1 NAME","VARIATION 1 VALUES","VARIATION 2 TYPE","VARIATION 2 NAME","VARIATION 2 VALUES",SKU
"Red hologram","1x 1:12 red hologram (FIGURE NOT INCLUDED)",5,GBP,13,"accessories,props,miniature",,https://i.etsystatic.com/22049125/r/il/825850/3012931811/il_fullxfull.3012931811_2sfr.jpg,https://i.etsystatic.com/22049125/r/il/11ada8/3012931821/il_fullxfull.3012931821_4f6u.jpg,,,,,,,,,,,,,,,
"Bike outta hell painted (FIGURE NOT INCLUDED)","3D printed and painted bike outta hell for 6” figures, features rotating wheels & removable flames",55,GBP,1,,,https://i.etsystatic.com/22049125/r/il/54f3ec/5204183415/il_fullxfull.5204183415_83o2.jpg,https://i.etsystatic.com/22049125/r/il/f41a1e/5382814461/il_fullxfull.5382814461_1djd.jpg,https://i.etsystatic.com/22049125/r/il/dec41c/5382812743/il_fullxfull.5382812743_qito.jpg,https://i.etsystatic.com/22049125/r/il/6093e4/5382812649/il_fullxfull.5382812649_exwc.jpg,https://i.etsystatic.com/22049125/r/il/e90f77/5334642764/il_fullxfull.5334642764_7bht.jpg,,,,,,,,,,,,
"Rooftop eagle display stand painted (FIGURE NOT INCLUDED)","1x 3D printed and painted Rooftop eagle display stand  (FIGURE NOT INCLUDED)",30,GBP,2,"toy_prop,toy_accessories,miniature,toy_props,accessories,toy_accessory,6_inch_scale,RDJ_custom_creations,action_figure,3D_printed",,https://i.etsystatic.com/22049125/r/il/c1203f/6146127307/il_fullxfull.6146127307_nvrq.jpg,https://i.etsystatic.com/22049125/r/il/15457e/6098040150/il_fullxfull.6098040150_6y4a.jpg,https://i.etsystatic.com/22049125/r/il/d205d9/6098040232/il_fullxfull.6098040232_tllt.jpg,,,,,,,,,,,,,,
"Moustache mercenary painted (FIGURE NOT INCLUDED)","1x 3D printed and painted moustache mercenary head sculpt (FIGURE NOT INCLUDED)",25,GBP,18,,,https://i.etsystatic.com/22049125/r/il/b67d56/6247718954/il_fullxfull.6247718954_bffz.jpg,https://i.etsystatic.com/22049125/r/il/443592/6247717374/il_fullxfull.6247717374_jdc6.jpg,https://i.etsystatic.com/22049125/r/il/f78932/6295769111/il_fullxfull.6295769111_pxds.jpg,,,,,,,,,,,,,,
"Lady hologram for Insect guy (FIGURE NOT INCLUDED)","X1 3D printed Lady hologram for Insect guy (FIGURE NOT INCLUDED)",2.5,GBP,6,"hologram,6_inch_scale,accessories,3D_printed,toy_accessories,RDJ_custom_creations",,https://i.etsystatic.com/22049125/r/il/a83909/3578709209/il_fullxfull.3578709209_jy8o.jpg,https://i.etsystatic.com/22049125/r/il/b701f7/3531066434/il_fullxfull.3531066434_5myo.jpg,https://i.etsystatic.com/22049125/r/il/0864e2/3578709217/il_fullxfull.3578709217_8j7h.jpg,,,,,,,,,,,,,,
"Screaming masked feral man head sculpt (unpainted) ***FIGURE NOT INCLUDED***","screaming masked  feral man head sculpt (unpainted) ***FIGURE NOT INCLUDED***",12,GBP,2,"alternate_head,1_12_scale,custom_head_sculpt,head_sculpt,toy_accessory,action_figure,RDJ_custom_creations,6_inch_scale,custom,toy_accessories,3D_printed,toy_props,accessories",,https://i.etsystatic.com/22049125/r/il/fc9a56/6578829713/il_fullxfull.6578829713_1t1f.jpg,https://i.etsystatic.com/22049125/r/il/cca5a4/6530708540/il_fullxfull.6530708540_qssm.jpg,,,,,,,,,,,,,,,
"1x Power collar (painted)","1x 3D printed power collar (FIGURE NOT INCLUDED ***glows under UV light***
please state which character/figure you plan to use them on so I can make sure it fits correctly",3.75,GBP,10,"3D_printed,6_inch_scale,custom_made,toy_photography,RDJ_custom_creations",,https://i.etsystatic.com/22049125/r/il/669915/5889224982/il_fullxfull.5889224982_na02.jpg,https://i.etsystatic.com/22049125/r/il/64fa16/5889225060/il_fullxfull.5889225060_opdo.jpg,https://i.etsystatic.com/22049125/r/il/46eb81/5889225122/il_fullxfull.5889225122_4ep0.jpg,,,,,,,,,,,,,,
"Unpainted photon cannon, unpainted Gifted plaque, piss stream & splash","3D printed Unpainted proton cannon, unpainted Xavier plaque, piss stream & splash",46,GBP,5,"toy_photography,tangible_effects,toy_accessories,props,toy_prop,3D_printed,action_figure,custom,RDJ_custom_creations,6_inch_scale",,https://i.etsystatic.com/22049125/r/il/e17f0c/3336020187/il_fullxfull.3336020187_ku7n.jpg,,,,,,,,,,,,,,,,
"Cat burglar head sculpt (unpainted) ***FIGURE NOT INCLUDED***","3D printed cat burglar head sculpt (unpainted) ***FIGURE NOT INCLUDED***",12,GBP,4,"custom,1_12_scale,toy_accessories,alternate_head,6_inch_scale,Head_sculpt,3D_printed",,https://i.etsystatic.com/22049125/r/il/ea760f/4321619083/il_fullxfull.4321619083_48df.jpg,,,,,,,,,,,,,,,,
"Madam hour, electric jewellery, water bombs (FIGURES NOT INCLUDED)","A selection of items procured by the client",30,GBP,4,"custom_made,zombie,alternate_head,Head_sculpt,6_inch_scale,action_figure,toy_accessories,toy_props,accessories,3D_printed,RDJ_custom_creations,custom",,https://i.etsystatic.com/22049125/r/il/45ea33/4865300900/il_fullxfull.4865300900_4g3s.jpg,,,,,,,,,,,,,,,,
"Client request, devil man, the creator head & tyrannical robot head (painted)","2x 3D printed and painted  Devil man, the creator head & tyrannical robot head (figures not included)",70,GBP,3,"3D_printed,toy_props,6_inch_scale,toy_accessories,RDJ_custom_creations",,https://i.etsystatic.com/22049125/r/il/6634f6/4205141059/il_fullxfull.4205141059_qtzg.jpg,,,,,,,,,,,,,,,,
"Puzzle face, mask, blue energy shields","1x Puzzle face, 1x mask, 1x set of blue energy shields",35,GBP,2,"miniature,tangible_effects,props,toy_prop,action_figure,toy_accessories,custom,RDJ_custom_creations,accessories,6_inch_scale,3D_printed",,https://i.etsystatic.com/22049125/r/il/aec9b8/3330292279/il_fullxfull.3330292279_4a0y.jpg,,,,,,,,,,,,,,,,
"Feral man masked movie head sculpt (FIGURE NOT INCLUDED)","3D printed and painted feral man masked movie head sculpt for 1:12 scale figure (FIGURE NOT INCLUDED)
sculpted by Wicked3D",25,GBP,8,"head_sculpt,toy_props,toy_accessories,3D_printed,alternate_head,action_figure,RDJ_custom_creations,6_inch_scale",,https://i.etsystatic.com/22049125/r/il/9befb5/6540719162/il_fullxfull.6540719162_aq3x.jpg,https://i.etsystatic.com/22049125/r/il/6b3dfe/6540719290/il_fullxfull.6540719290_bwz5.jpg,https://i.etsystatic.com/22049125/r/il/4da06d/6540719380/il_fullxfull.6540719380_hzg6.jpg,https://i.etsystatic.com/22049125/r/il/e653ab/6540719496/il_fullxfull.6540719496_pvol.jpg,,,,,,,,,,,,,
